markdown_date,store_id,sku,category,original_price,markdown_price,discount_pct,base_quantity_sold,markdown_quantity_sold,quantity_uplift_pct,markdown_duration_days,unit_cost,base_margin_dollars,markdown_margin_dollars
20201220,567,67,Category 05,41.03,27.88,32.0,37,54,48.1,40,20.88,745,378
20200224,1327,67,Category 05,41.22,25.72,37.6,77,120,56.4,20,20.88,1566,580
20201031,1858,83,Category 05,61.45,49.95,18.7,78,99,28.1,31,31.61,2327,1815
20201228,1302,148,Category 03,32.4,28.74,11.3,75,85,13.6,23,19.46,970,788
20200709,1830,83,Category 05,60.68,54.5,10.2,57,65,15.3,21,31.61,1656,1487
20200303,1164,52,Category 06,38.92,27.84,28.5,45,64,42.7,51,20.74,818,454
20200603,371,57,Category 04,69.91,45.76,34.5,39,59,51.8,46,34.92,1364,639
20200814,531,83,Category 05,59.18,43.73,26.1,46,64,39.2,32,31.61,1268,775
20200420,485,8,Category 05,55.12,42.12,23.6,22,29,35.4,23,31.14,527,318
20201207,614,57,Category 04,73.06,61.26,16.1,70,86,24.2,47,34.92,2669,2265
20200422,614,153,Category 02,88.24,77.59,12.1,27,31,18.1,31,40.66,1284,1144
20201212,98,76,Category 05,42.61,28.31,33.6,38,57,50.3,38,22.03,782,357
20200420,373,57,Category 04,64.51,52.74,18.2,35,44,27.4,50,34.92,1035,784
20200509,1425,155,Category 01,40.9,29.43,28.0,15,20,33.7,23,22.82,271,132
20200430,1393,107,Category 10,50.4,37.77,25.1,27,37,37.6,19,25.22,679,464
20201108,1459,39,Category 06,44.65,29.14,34.7,21,31,52.1,39,22.8,458,196
20201210,381,39,Category 06,42.54,26.61,37.4,47,73,56.2,19,22.8,927,278
20200610,1160,111,Category 04,60.02,39.53,34.1,18,27,51.2,53,28.95,559,285
20201007,1616,107,Category 10,45.47,31.29,31.2,34,49,46.8,33,25.22,688,297
20200418,381,148,Category 03,31.92,27.98,12.3,75,86,14.8,20,19.46,934,732
20200429,875,46,Category 04,51.16,37.04,27.6,70,98,41.4,35,24.88,1839,1191
20200602,1425,2,Category 01,28.95,20.78,28.2,29,38,33.9,33,15.99,375,182
20201101,1537,57,Category 04,64.49,53.12,17.6,65,82,26.4,19,34.92,1922,1492
20200112,1540,6,Category 06,60.61,42.31,30.2,77,111,45.3,27,32.93,2131,1041
20200217,98,67,Category 05,41.44,34.42,16.9,53,66,25.4,22,20.88,1089,893
20200423,579,1,Category 07,51.54,42.48,17.6,72,90,26.4,18,29.23,1606,1192
20200311,1302,2,Category 01,29.17,23.34,20.0,64,79,24.0,33,15.99,843,580
20201224,303,111,Category 04,59.31,41.36,30.3,72,104,45.4,37,28.95,2185,1290
20200209,614,57,Category 04,64.84,40.08,38.2,45,70,57.3,37,34.92,1346,361
20201228,1625,3,Category 01,40.25,24.75,38.5,66,96,46.2,36,22.1,1197,254
20200306,1425,8,Category 05,58.24,41.57,28.6,32,45,42.9,47,31.14,867,469
20201214,1160,110,Category 02,69.51,45.25,34.9,69,105,52.4,33,33.7,2470,1212
20200713,639,39,Category 06,41.61,28.39,31.8,47,69,47.7,32,22.8,884,385
20200827,1712,149,Category 03,29.24,20.12,32.1,49,67,37.4,31,18.29,536,122
20200701,1625,83,Category 05,56.05,49.49,11.7,66,77,17.6,25,31.61,1613,1376
20200524,1232,8,Category 05,59.46,43.64,26.6,19,26,39.9,33,31.14,538,325
20200324,1634,46,Category 04,52.32,34.24,34.6,42,63,51.8,23,24.88,1152,589
20200619,206,46,Category 04,45.55,33.94,25.5,51,70,38.2,35,24.88,1054,634
20200107,1392,7,Category 06,61.08,42.72,30.1,21,30,45.1,16,33.79,573,267
20200720,273,46,Category 04,46.53,29.34,36.9,75,116,55.4,27,24.88,1623,517
20200216,1452,64,Category 01,56.27,35.74,36.5,26,37,43.8,51,32.22,625,130
20200410,531,111,Category 04,53.12,44.88,15.5,54,66,23.3,18,28.95,1305,1051
20200703,1741,153,Category 02,84.15,70.61,16.1,42,52,24.1,17,40.66,1826,1557
20201031,1259,76,Category 05,42.99,38.08,11.4,51,59,17.1,36,22.03,1068,946
20200620,1393,3,Category 01,43.14,32.57,24.5,29,37,29.4,39,22.1,610,387
20200729,1329,39,Category 06,42.07,25.49,39.4,60,95,59.1,45,22.8,1156,255
20201106,1283,107,Category 10,48.06,30.66,36.2,40,61,54.3,19,25.22,913,331
20201005,1160,52,Category 06,38.63,29.41,23.9,42,57,35.8,22,20.74,751,494
20201224,171,6,Category 06,63.49,54.1,14.8,76,92,22.2,23,32.93,2322,1947
20201205,1208,6,Category 06,63.33,39.73,37.3,58,90,55.9,52,32.93,1763,611
20200227,865,83,Category 05,56.34,35.67,36.7,74,114,55.0,44,31.61,1830,462
20201224,303,57,Category 04,71.09,51.27,27.9,37,52,41.8,18,34.92,1338,850
20200718,273,6,Category 06,57.97,38.98,32.8,19,28,49.1,20,32.93,475,169
20200308,999,148,Category 03,30.91,21.41,32.6,70,95,36.9,37,19.46,801,185
20200513,1634,110,Category 02,66.66,40.99,38.5,30,47,57.8,50,33.7,988,342
20201001,1556,111,Category 04,60.15,44.11,26.7,60,84,40.0,37,28.95,1872,1273
20200216,178,155,Category 01,45.48,33.84,25.6,53,69,30.7,37,22.82,1200,760
20201012,1712,6,Category 06,59.7,46.24,22.5,23,30,33.8,26,32.93,615,399
20200102,1634,6,Category 06,65.24,53.38,18.2,33,41,27.3,28,32.93,1066,838
20200718,1712,39,Category 06,45.42,28.51,37.2,31,48,55.8,25,22.8,701,274
20200124,531,2,Category 01,29.24,26.05,10.9,48,54,13.1,16,15.99,635,543
20200711,1393,111,Category 04,56.23,40.87,27.3,75,105,41.0,33,28.95,2045,1251
20200222,1712,57,Category 04,66.48,59.44,10.6,33,38,15.9,15,34.92,1041,931
20200904,273,1,Category 07,50.87,35.14,30.9,21,30,46.4,51,29.23,454,177
20200626,1328,46,Category 04,47.85,39.32,17.8,44,55,26.7,31,24.88,1010,794
20200904,875,2,Category 01,30.87,22.89,25.9,46,60,31.0,37,15.99,684,414
20201227,381,154,Category 01,51.47,41.57,19.2,53,65,23.1,19,27.57,1266,910
20200831,545,6,Category 06,61.82,39.75,35.7,42,64,53.6,51,32.93,1213,436
20200526,1843,57,Category 04,71.14,57.85,18.7,58,74,28.0,45,34.92,2100,1696
20201101,930,153,Category 02,81.16,61.31,24.5,78,106,36.7,28,40.66,3159,2188
20200315,1936,64,Category 01,57.77,45.35,21.5,72,90,25.8,15,32.22,1839,1181
20201027,377,39,Category 06,42.8,32.54,24.0,21,28,36.0,16,22.8,419,272
20200705,721,155,Category 01,42.94,32.12,25.2,57,74,30.2,55,22.82,1146,688
20200719,1822,52,Category 06,38.68,30.63,20.8,48,62,31.2,25,20.74,861,613
20201011,1634,107,Category 10,45.13,34.7,23.1,17,22,34.7,26,25.22,338,208
20200110,999,76,Category 05,41.47,34.89,15.9,24,29,23.8,39,22.03,466,372
20200826,1540,155,Category 01,40.19,33.72,16.1,36,42,19.3,54,22.82,625,457
20200706,1232,67,Category 05,37.67,31.46,16.5,33,41,24.7,23,20.88,554,433
20201214,600,83,Category 05,58.14,41.21,29.1,48,68,43.7,53,31.61,1273,652
20200303,1843,155,Category 01,40.14,27.13,32.4,36,50,38.9,33,22.82,623,215
20200331,1459,83,Category 05,62.16,38.24,38.5,64,100,57.7,26,31.61,1955,663
20201029,273,39,Category 06,40.69,28.35,30.3,72,104,45.5,18,22.8,1288,577
20200829,579,8,Category 05,55.68,40.7,26.9,58,81,40.4,20,31.14,1423,774
20201014,871,111,Category 04,55.88,41.13,26.4,26,36,39.6,41,28.95,700,438
20200603,904,1,Category 07,58.4,49.28,15.6,44,54,23.4,33,29.23,1283,1082
20200523,274,6,Category 06,59.58,53.53,10.2,30,34,15.2,22,32.93,799,700
20200823,249,39,Category 06,43.81,35.0,20.1,29,37,30.2,34,22.8,609,451
20201130,337,67,Category 05,38.43,24.53,36.2,21,32,54.3,53,20.88,368,116
20200309,1013,57,Category 04,69.41,49.06,29.3,36,51,44.0,19,34.92,1241,721
20201124,1925,6,Category 06,64.17,40.44,37.0,29,45,55.5,47,32.93,905,337
20201106,1283,111,Category 04,59.14,41.6,29.7,49,70,44.5,28,28.95,1479,885
20200904,1354,111,Category 04,55.18,47.75,13.5,49,58,20.2,50,28.95,1285,1090
20200728,1302,57,Category 04,72.49,60.41,16.7,77,96,25.0,30,34.92,2892,2447
20201120,210,76,Category 05,42.53,27.34,35.7,66,101,53.6,46,22.03,1353,536
20201012,579,2,Category 01,27.98,18.83,32.7,32,44,39.2,34,15.99,383,124
20200615,381,64,Category 01,57.98,46.0,20.7,60,74,24.8,16,32.22,1545,1019
20200616,1160,67,Category 05,40.42,30.68,24.1,70,95,36.1,53,20.88,1367,931
20200526,1392,110,Category 02,73.04,47.72,34.7,63,95,52.0,31,33.7,2478,1331
20201119,978,149,Category 03,33.52,24.19,27.8,78,104,33.4,47,18.29,1187,613
20200704,373,8,Category 05,57.33,39.46,31.2,36,52,46.8,37,31.14,942,432
20200804,1838,1,Category 07,52.71,32.15,39.9,35,55,58.5,31,29.23,821,160
20200703,978,149,Category 03,33.07,29.5,10.8,39,44,13.0,23,18.29,576,493
20200915,574,153,Category 02,77.86,57.33,26.4,26,36,39.6,27,40.66,967,600
20200810,721,67,Category 05,39.98,24.45,38.8,54,85,58.3,17,20.88,1031,303
20200604,1068,57,Category 04,71.41,64.2,10.1,35,40,15.1,28,34.92,1277,1171
20200605,1616,3,Category 01,38.5,30.93,19.7,59,72,23.6,20,22.1,967,635
20200115,1741,57,Category 04,67.25,50.81,24.4,29,39,36.7,32,34.92,937,619
20200501,1068,7,Category 06,66.79,47.89,28.3,41,58,42.4,48,33.79,1353,817
20201027,999,2,Category 01,30.38,19.34,36.3,48,68,43.6,37,15.99,690,227
20200828,1311,76,Category 05,40.9,34.14,16.5,40,49,24.8,19,22.03,754,593
20200908,1459,6,Category 06,62.77,43.16,31.2,72,105,46.9,52,32.93,2148,1074
20200109,171,46,Category 04,47.6,28.91,39.3,39,61,58.9,30,24.88,886,245
20200803,1556,6,Category 06,63.6,51.88,18.4,50,63,27.6,34,32.93,1533,1193
20200403,1741,107,Category 10,49.96,40.95,18.0,31,39,27.1,18,25.22,766,613
20200525,1232,52,Category 06,40.39,27.47,32.0,27,39,48.0,29,20.74,530,262
20201213,1232,1,Category 07,52.65,33.69,36.0,24,36,54.0,22,29.23,562,160
20201118,614,46,Category 04,46.64,31.42,32.6,58,86,48.9,32,24.88,1262,562
20200820,1311,7,Category 06,64.9,52.67,18.8,70,89,28.3,15,33.79,2177,1680
20201011,633,83,Category 05,56.69,37.8,33.3,29,43,50.0,52,31.61,727,266
20201225,1302,148,Category 03,33.42,25.12,24.8,22,28,29.8,16,19.46,307,158
20201021,1094,6,Category 06,65.72,52.96,19.4,48,61,29.1,40,32.93,1573,1221
20200511,1392,57,Category 04,64.67,51.73,20.0,69,89,30.0,20,34.92,2052,1496
20200207,978,3,Category 01,44.01,28.94,34.2,23,32,41.1,44,22.1,503,218
20200821,1822,2,Category 01,28.51,21.28,25.4,74,96,30.4,42,15.99,926,507
20200118,574,6,Category 06,57.0,40.36,29.2,28,40,43.8,25,32.93,673,297
20200603,373,153,Category 02,82.98,57.51,30.7,22,32,46.0,39,40.66,931,539
20201202,371,67,Category 05,38.85,33.69,13.3,74,88,19.9,47,20.88,1329,1127
20200116,1587,153,Category 02,79.05,62.59,20.8,31,40,31.2,35,40.66,1190,877
20200208,625,7,Category 06,64.71,54.92,15.1,49,60,22.7,28,33.79,1515,1267
20200930,1164,107,Category 10,49.7,39.65,20.2,17,22,30.3,23,25.22,416,317
20200218,1182,153,Category 02,84.11,53.08,36.9,28,43,55.3,18,40.66,1216,534
20201125,206,149,Category 03,33.32,23.26,30.2,32,43,36.2,46,18.29,480,213
20200205,371,155,Category 01,41.21,25.47,38.2,32,46,45.8,38,22.82,588,121
20201110,232,107,Category 10,43.64,34.72,20.4,33,43,30.7,41,25.22,607,408
20200307,206,46,Category 04,46.93,32.07,31.7,74,109,47.5,25,24.88,1631,783
20200811,1556,8,Category 05,57.31,39.43,31.2,64,93,46.8,25,31.14,1674,770
20200719,1587,2,Category 01,29.71,21.24,28.5,49,65,34.2,25,15.99,672,341
20200104,249,1,Category 07,52.93,38.51,27.3,46,64,40.9,38,29.23,1090,593
20201010,371,154,Category 01,51.94,36.35,30.0,58,78,36.0,54,27.57,1413,684
20200102,373,39,Category 06,41.21,36.13,12.3,40,47,18.5,15,22.8,736,626
20200109,397,67,Category 05,36.94,22.97,38.4,22,34,56.7,43,20.88,353,71
20200209,485,2,Category 01,31.84,26.15,17.9,72,87,21.4,54,15.99,1141,883
20200724,1634,57,Category 04,70.73,44.43,37.2,31,48,55.8,53,34.92,1110,456
20200723,865,39,Category 06,45.37,34.53,23.9,60,81,35.8,18,22.8,1354,950
20200422,98,1,Category 07,57.93,48.89,15.6,65,80,23.4,40,29.23,1865,1572
20200201,1646,148,Category 03,32.36,21.41,38.6,49,68,40.6,41,19.46,632,132
20200531,1354,64,Category 01,61.88,44.65,27.8,26,34,33.4,29,32.22,771,422
20200324,1302,110,Category 02,69.88,50.19,28.2,69,98,42.3,33,33.7,2496,1616
20200131,337,6,Category 06,63.03,47.6,24.5,34,46,36.7,52,32.93,1023,674
20200417,614,3,Category 01,40.05,24.99,37.6,51,74,45.1,34,22.1,915,213
20200814,930,67,Category 05,38.3,26.11,31.8,42,62,47.7,46,20.88,731,324
20200422,1857,111,Category 04,58.99,44.26,25.0,21,28,37.5,29,28.95,630,428
20201116,1329,57,Category 04,70.83,46.67,34.1,15,22,51.2,41,34.92,538,258
20200810,579,46,Category 04,50.29,42.57,15.4,39,47,23.0,55,24.88,990,831
20201215,1712,154,Category 01,52.37,41.98,19.8,23,28,23.8,38,27.57,570,403
20200409,425,39,Category 06,43.95,36.1,17.9,63,79,26.8,29,22.8,1332,1050
20200107,1712,1,Category 07,56.93,47.11,17.2,30,37,25.9,38,29.23,831,661
20200712,337,111,Category 04,55.12,45.42,17.6,72,91,26.4,17,28.95,1884,1498
20200825,98,149,Category 03,31.34,22.19,29.2,52,70,35.0,36,18.29,678,273
20200621,337,148,Category 03,32.77,21.41,38.5,42,59,41.6,24,19.46,559,115
20200915,1232,57,Category 04,68.89,51.61,25.1,62,85,37.6,40,34.92,2106,1418
20200301,639,64,Category 01,60.25,41.58,31.0,23,31,37.2,20,32.22,644,290
20200718,865,6,Category 06,64.18,53.85,16.1,18,22,24.1,16,32.93,562,460
20200621,485,1,Category 07,54.99,40.98,25.5,61,84,38.2,15,29.23,1571,986
20201208,1843,39,Category 06,41.18,32.17,21.9,62,82,32.8,49,22.8,1139,768
20200710,600,57,Category 04,73.49,49.77,32.3,39,57,48.4,18,34.92,1504,846
20201128,303,155,Category 01,40.53,33.39,17.6,41,49,21.1,21,22.82,726,517
20200707,1283,154,Category 01,54.65,47.89,12.4,59,67,14.8,20,27.57,1597,1361
20200526,1182,39,Category 06,42.65,25.97,39.1,38,60,58.7,35,22.8,754,190
20200321,1164,57,Category 04,68.41,44.03,35.6,59,90,53.5,54,34.92,1975,819
20200607,614,3,Category 01,41.27,36.99,10.4,56,62,12.4,20,22.1,1073,923
20200501,1101,154,Category 01,49.55,41.9,15.4,23,27,18.5,50,27.57,505,386
20200425,1020,107,Category 10,46.31,39.5,14.7,70,85,22.1,16,25.22,1476,1213
20201026,1838,8,Category 05,61.05,49.73,18.5,48,61,27.8,54,31.14,1435,1133
20201115,210,2,Category 01,31.84,22.1,30.6,69,94,36.7,30,15.99,1093,574
20201120,397,83,Category 05,59.5,46.86,21.2,29,38,31.9,15,31.61,808,579
20200119,206,111,Category 04,59.52,52.31,12.1,52,61,18.2,35,28.95,1589,1424
20200923,486,2,Category 01,29.57,20.2,31.7,19,26,38.0,46,15.99,258,109
20201104,1540,154,Category 01,51.77,38.66,25.3,29,37,30.4,49,27.57,701,410
20200125,1925,67,Category 05,39.67,26.27,33.8,29,43,50.7,29,20.88,544,231
20201229,1741,2,Category 01,30.17,26.77,11.3,19,21,13.5,52,15.99,269,226
20201005,485,155,Category 01,44.85,33.49,25.3,36,46,30.4,52,22.82,793,490
20200411,371,57,Category 04,68.58,45.8,33.2,63,94,49.8,23,34.92,2120,1022
20201208,485,154,Category 01,48.55,39.98,17.6,17,20,21.2,16,27.57,356,248
20200215,1311,154,Category 01,48.76,30.33,38.3,49,71,45.4,48,27.57,1038,195
20201007,1164,7,Category 06,61.94,44.41,28.3,58,82,42.5,45,33.79,1632,870
20201108,1510,110,Category 02,71.81,53.56,25.4,29,40,38.1,36,33.7,1105,794
20200815,1259,3,Category 01,40.81,26.28,35.6,38,54,42.7,31,22.1,710,225
20200227,545,110,Category 02,65.86,41.66,36.7,48,74,55.1,46,33.7,1543,589
20200409,625,155,Category 01,45.01,33.26,26.1,72,94,31.3,45,22.82,1597,981
20200811,1822,153,Category 02,89.35,79.81,10.7,40,46,16.0,27,40.66,1947,1800
20201219,1741,57,Category 04,72.02,49.67,31.0,40,58,46.5,16,34.92,1483,855
20201004,1354,76,Category 05,38.59,33.58,13.0,22,26,19.5,17,22.03,364,300
20200515,999,83,Category 05,59.69,42.95,28.1,69,98,42.1,42,31.61,1937,1111
20201203,1393,83,Category 05,63.13,46.46,26.4,18,25,39.6,55,31.61,567,371
20200806,531,76,Category 05,42.62,30.37,28.7,26,37,43.1,27,22.03,535,308
20200117,249,76,Category 05,43.27,28.69,33.7,62,93,50.5,32,22.03,1316,619
20201122,603,83,Category 05,58.58,44.1,24.7,55,75,37.1,25,31.61,1483,936
20201123,625,8,Category 05,56.94,36.71,35.5,46,70,53.3,21,31.14,1186,389
20200325,273,67,Category 05,37.82,24.11,36.3,18,27,54.4,54,20.88,304,87
20201107,679,64,Category 01,61.36,43.84,28.6,42,56,34.3,42,32.22,1223,650
20200727,1712,8,Category 05,59.91,51.82,13.5,16,19,20.3,33,31.14,460,392
20201229,98,76,Category 05,41.3,28.68,30.6,43,62,45.8,47,22.03,828,412
20201103,171,3,Category 01,43.29,34.87,19.5,58,71,23.3,39,22.1,1229,906
20200325,1302,67,Category 05,38.21,28.29,26.0,38,52,38.9,54,20.88,658,385
20200415,63,76,Category 05,42.22,26.51,37.2,49,76,55.8,17,22.03,989,340
20201203,1925,83,Category 05,58.43,41.93,28.2,39,55,42.4,27,31.61,1045,567
20200620,377,64,Category 01,62.13,47.52,23.5,77,98,28.2,19,32.22,2303,1499
20200328,1712,1,Category 07,58.25,48.03,17.6,77,97,26.3,17,29.23,2234,1823
20201025,164,76,Category 05,38.36,33.19,13.5,39,46,20.2,29,22.03,636,513
20200118,1208,149,Category 03,29.55,25.07,15.2,49,57,18.2,42,18.29,551,386
20201203,1027,2,Category 01,28.15,20.25,28.1,41,54,33.7,54,15.99,498,230
20200114,1302,154,Category 01,55.04,41.13,25.3,24,31,30.3,54,27.57,659,420
20200310,63,154,Category 01,54.08,35.05,35.2,71,100,42.2,16,27.57,1882,747
20200917,485,76,Category 05,40.08,34.15,14.8,35,42,22.2,33,22.03,631,509
20200412,1302,67,Category 05,38.76,25.84,33.3,67,100,50.0,14,20.88,1197,496
20200421,1302,67,Category 05,36.6,27.22,25.6,78,107,38.4,41,20.88,1226,678
20200121,486,154,Category 01,49.79,34.32,31.1,25,34,37.3,38,27.57,555,229
20200903,1625,6,Category 06,63.2,40.35,36.2,52,80,54.2,47,32.93,1574,593
20201026,1160,107,Category 10,48.35,40.84,15.5,48,59,23.3,47,25.22,1110,921
20200925,1830,76,Category 05,40.78,29.5,27.7,62,87,41.5,33,22.03,1162,649
20201016,485,57,Category 04,68.25,43.06,36.9,65,100,55.4,30,34.92,2166,814
20200709,1838,46,Category 04,50.17,40.55,19.2,17,21,28.8,25,24.88,429,329
20200424,1510,111,Category 04,55.94,46.05,17.7,23,29,26.5,49,28.95,620,495
20200616,274,52,Category 06,36.73,27.29,25.7,38,52,38.6,36,20.74,607,340
20200708,249,76,Category 05,42.32,33.82,20.1,66,85,30.1,49,22.03,1339,1002
20200811,1763,155,Category 01,43.28,31.9,26.3,31,40,31.6,14,22.82,634,363
20201118,625,149,Category 03,29.46,21.72,26.3,56,73,31.5,49,18.29,625,250
20200127,1068,155,Category 01,42.24,27.6,34.7,19,26,41.6,35,22.82,368,124
20201208,381,52,Category 06,38.69,26.0,32.8,33,49,49.2,29,20.74,592,257
20200627,679,57,Category 04,73.46,51.48,29.9,26,37,44.9,27,34.92,1002,612
20201017,1510,155,Category 01,42.83,28.92,32.5,25,34,39.0,52,22.82,500,207
20200423,377,76,Category 05,42.52,31.22,26.6,61,85,39.9,18,22.03,1249,781
20200405,337,3,Category 01,38.85,29.46,24.2,62,79,29.0,27,22.1,1038,581
20201116,1232,7,Category 06,58.42,41.7,28.6,45,64,42.9,34,33.79,1108,506
20200616,1587,46,Category 04,48.09,42.51,11.6,30,35,17.4,45,24.88,696,617
20200714,1094,8,Category 05,54.11,39.77,26.5,52,72,39.8,44,31.14,1194,621
20200408,249,110,Category 02,64.27,39.79,38.1,78,122,57.1,43,33.7,2384,742
20200718,1094,148,Category 03,31.16,27.45,11.9,22,25,14.3,41,19.46,257,199
20201018,567,154,Category 01,50.14,44.42,11.4,63,71,13.7,26,27.57,1421,1196
20200406,904,67,Category 05,40.71,29.34,27.9,63,89,41.9,46,20.88,1249,752
20201117,665,39,Category 06,44.07,34.25,22.3,28,37,33.4,42,22.8,595,423
20200723,999,46,Category 04,45.58,29.37,35.6,70,107,53.3,43,24.88,1449,480
20200306,904,149,Category 03,31.71,27.03,14.8,29,34,17.7,53,18.29,389,297
20201205,1857,3,Category 01,38.56,33.0,14.4,59,69,17.3,26,22.1,971,752
20201112,1646,1,Category 07,57.7,36.45,36.8,66,102,55.2,53,29.23,1879,736
20200119,1537,148,Category 03,32.15,21.94,31.7,33,45,38.1,41,19.46,418,111
20200131,1710,7,Category 06,62.87,52.89,15.9,42,52,23.8,26,33.79,1221,993
20201209,373,52,Category 06,40.35,31.39,22.2,47,62,33.3,29,20.74,921,660
20200824,1710,67,Category 05,38.62,31.26,19.1,63,81,28.6,29,20.88,1117,840
20200328,1328,52,Category 06,36.67,29.63,19.2,70,90,28.8,29,20.74,1115,800
20201008,579,3,Category 01,39.91,30.38,23.9,72,92,28.7,30,22.1,1282,761
20200212,721,154,Category 01,50.09,33.31,33.5,35,49,40.2,31,27.57,788,281
20200805,206,1,Category 07,51.91,39.55,23.8,70,95,35.7,31,29.23,1587,980
20200310,679,110,Category 02,67.84,46.36,31.7,54,79,47.5,41,33.7,1843,1000
20200107,339,46,Category 04,50.27,40.78,18.9,41,52,28.3,22,24.88,1040,826
20200314,1020,83,Category 05,60.92,38.99,36.0,30,46,54.0,45,31.61,879,339
20200226,1161,148,Category 03,34.49,30.86,10.5,40,45,12.6,28,19.46,601,512
20200106,508,7,Category 06,64.75,58.24,10.1,63,72,15.1,42,33.79,1950,1760
20200126,574,1,Category 07,53.72,44.7,16.8,53,66,25.2,29,29.23,1297,1021
20200504,1937,52,Category 06,41.02,36.6,10.8,66,76,16.2,42,20.74,1338,1205
20201002,1182,153,Category 02,79.81,56.66,29.0,23,33,43.5,19,40.66,900,528
20200531,1625,76,Category 05,40.63,35.43,12.8,37,44,19.2,35,22.03,688,589
20200920,1452,39,Category 06,42.77,36.25,15.2,34,41,22.9,22,22.8,678,551
20200130,875,107,Category 10,49.82,39.39,20.9,31,40,31.4,37,25.22,762,566
20200106,1625,39,Category 06,41.41,35.59,14.1,29,35,21.1,15,22.8,539,447
20200618,178,7,Category 06,63.73,45.08,29.3,60,86,43.9,27,33.79,1796,970
20200503,1020,153,Category 02,79.84,60.42,24.3,15,20,36.5,27,40.66,587,395
20200222,574,83,Category 05,60.32,41.77,30.8,58,84,46.1,48,31.61,1665,853
20200610,904,153,Category 02,85.74,60.21,29.8,69,99,44.7,47,40.66,3110,1935
20200518,1311,2,Category 01,28.35,20.08,29.2,37,49,35.0,48,15.99,457,200
20200707,1328,67,Category 05,40.59,35.05,13.7,47,56,20.5,25,20.88,926,793
20200524,1858,52,Category 06,39.65,26.05,34.3,35,53,51.5,39,20.74,661,281
20200921,1936,46,Category 04,52.15,43.77,16.1,17,21,24.1,35,24.88,463,396
20200629,377,3,Category 01,39.98,28.6,28.5,46,61,34.2,55,22.1,822,396
20200909,1838,67,Category 05,41.22,34.67,15.9,50,61,23.8,54,20.88,1017,841
20200807,1936,155,Category 01,45.51,29.74,34.6,28,39,41.6,51,22.82,635,269
20200524,1027,3,Category 01,41.37,36.36,12.1,69,79,14.5,37,22.1,1329,1126
20201029,865,46,Category 04,45.54,33.87,25.6,72,99,38.4,44,24.88,1487,890
20201007,232,52,Category 06,39.35,24.56,37.6,48,75,56.4,31,20.74,893,286
20200115,1616,57,Category 04,70.51,58.89,16.5,73,91,24.7,43,34.92,2598,2181
20200629,1208,148,Category 03,32.85,21.41,38.0,44,62,41.8,52,19.46,589,120
