date,store_id,product_id,product_category,quantity_demanded,on_hand_inventory,safety_stock,current_price,base_price,cost_price,gross_margin,margin_percentage,competitor_price,price_elasticity,is_promoted,promotion_discount_pct,days_inventory,stockout_risk
20220620,10,101,Electronics,54,43,144,19.33,16.81,11.6,7.73,40.0,17.43,0.9301,1,12.66,0.78,1
20220621,10,101,Electronics,51,20,144,18.05,18.2,10.83,7.22,40.0,19.4,1.0013,0,0.0,0.38,1
20220622,10,101,Electronics,67,98,144,77.66,80.3,46.6,31.06,40.0,69.95,1.0162,0,0.0,1.44,1
20220623,10,101,Electronics,41,22,144,45.93,40.25,27.56,18.37,40.0,43.48,0.9351,1,10.54,0.52,1
20220624,10,101,Electronics,66,16,144,96.1,98.96,57.66,38.44,40.0,104.87,1.0142,0,0.0,0.24,1
20220625,10,101,Electronics,38,43,144,38.32,37.01,22.99,15.33,40.0,41.23,0.9815,0,0.0,1.1,1
20220626,10,101,Electronics,59,78,144,57.21,54.73,34.33,22.88,40.0,52.03,0.9772,0,0.0,1.3,1
20220627,10,101,Electronics,59,10,144,21.44,18.12,12.86,8.57,40.0,22.73,0.9173,0,0.0,0.17,1
20220628,10,101,Electronics,54,39,144,33.63,33.39,20.18,13.45,40.0,35.37,0.9949,0,0.0,0.71,1
20220629,10,101,Electronics,68,17,144,31.63,28.08,18.98,12.65,40.0,29.88,0.9408,0,0.0,0.25,1
20220630,10,101,Electronics,41,13,144,67.49,65.4,40.5,27.0,40.0,61.34,0.9836,0,0.0,0.31,1
20220701,10,101,Electronics,45,29,144,16.78,18.01,10.07,6.71,40.0,16.95,1.033,1,22.25,0.63,1
20220702,10,101,Electronics,49,74,144,42.19,46.68,25.32,16.88,40.0,46.09,1.0506,1,36.83,1.48,1
20220703,10,101,Electronics,71,49,144,81.86,99.28,49.12,32.75,40.0,81.55,1.1006,0,0.0,0.68,1
20220704,10,101,Electronics,55,37,144,79.92,85.1,47.95,31.97,40.0,85.97,1.0313,0,0.0,0.66,1
20220705,10,101,Electronics,60,63,144,80.92,70.97,48.55,32.37,40.0,75.42,0.9359,0,0.0,1.03,1
20220706,10,101,Electronics,46,64,144,41.36,35.29,24.82,16.54,40.0,38.54,0.9226,0,0.0,1.36,1
20220707,10,101,Electronics,45,27,144,72.33,89.11,43.4,28.93,40.0,65.17,1.1092,0,0.0,0.59,1
20220708,10,101,Electronics,35,70,144,40.06,34.43,24.04,16.02,40.0,38.36,0.9259,0,0.0,1.94,1
20220709,10,101,Electronics,52,99,144,103.59,98.4,62.15,41.44,40.0,101.03,0.9742,1,34.56,1.87,1
20220710,10,101,Electronics,47,67,144,23.67,25.92,14.2,9.47,40.0,23.16,1.0442,0,0.0,1.4,1
20220711,10,101,Electronics,40,24,144,88.2,79.06,52.92,35.28,40.0,91.51,0.9463,1,19.03,0.59,1
20220712,10,101,Electronics,31,94,144,62.18,75.19,37.31,24.87,40.0,56.89,1.0988,0,0.0,2.94,1
20220713,10,101,Electronics,52,80,144,106.15,99.16,63.69,42.46,40.0,111.45,0.9661,1,32.75,1.51,1
20220714,10,101,Electronics,48,55,144,13.82,17.09,8.29,5.53,40.0,13.14,1.1079,1,14.77,1.12,1
20220715,10,101,Electronics,24,17,144,64.57,54.83,38.74,25.83,40.0,69.14,0.9208,0,0.0,0.68,1
20220716,10,101,Electronics,50,88,144,78.33,85.2,47.0,31.33,40.0,80.75,1.0423,0,0.0,1.73,1
20220717,10,101,Electronics,53,96,144,82.45,95.82,49.47,32.98,40.0,86.26,1.0774,0,0.0,1.78,1
20220718,10,101,Electronics,37,5,144,104.2,87.88,62.52,41.68,40.0,100.47,0.9179,0,0.0,0.13,1
20220719,10,101,Electronics,61,29,144,69.0,78.4,41.4,27.6,40.0,71.97,1.0651,0,0.0,0.47,1
20220720,10,101,Electronics,39,97,144,56.03,55.08,33.62,22.41,40.0,59.13,0.9906,0,0.0,2.42,1
20220721,10,101,Electronics,37,7,144,95.87,86.81,57.52,38.35,40.0,101.56,0.9511,0,0.0,0.18,1
20220722,10,101,Electronics,38,98,144,109.81,92.51,65.88,43.92,40.0,101.4,0.9174,1,30.57,2.51,1
20220723,10,101,Electronics,33,64,144,45.4,51.58,27.24,18.16,40.0,41.44,1.0647,0,0.0,1.88,1
20220724,10,101,Electronics,36,76,144,42.37,37.86,25.42,16.95,40.0,42.07,0.9442,0,0.0,2.05,1
20220725,10,101,Electronics,24,42,144,57.85,48.62,34.71,23.14,40.0,55.44,0.916,0,0.0,1.68,1
20220726,10,101,Electronics,39,92,144,97.97,88.11,58.78,39.19,40.0,91.04,0.9478,1,27.13,2.3,1
20220727,10,101,Electronics,37,96,144,16.44,16.56,9.87,6.58,40.0,17.11,1.0005,0,0.0,2.53,1
20220728,10,101,Electronics,35,81,144,14.73,15.83,8.84,5.89,40.0,13.5,1.0331,0,0.0,2.25,1
20220729,10,101,Electronics,43,42,144,42.18,45.41,25.31,16.87,40.0,42.75,1.0364,0,0.0,0.95,1
20220730,10,101,Electronics,56,10,144,73.09,83.05,43.85,29.24,40.0,74.47,1.0652,0,0.0,0.18,1
20220731,10,101,Electronics,50,80,144,61.7,67.1,37.02,24.68,40.0,66.28,1.042,0,0.0,1.57,1
20220801,10,101,Electronics,43,62,144,77.81,83.15,46.68,31.12,40.0,82.22,1.0331,0,0.0,1.41,1
20220802,10,101,Electronics,51,18,144,15.98,18.46,9.59,6.39,40.0,14.65,1.0715,1,17.41,0.35,1
20220803,10,101,Electronics,29,57,144,32.81,28.56,19.69,13.12,40.0,33.85,0.9316,0,0.0,1.9,1
20220804,10,101,Electronics,34,26,144,67.66,62.21,40.6,27.06,40.0,65.39,0.9581,0,0.0,0.74,1
20220805,10,101,Electronics,31,58,144,47.4,56.93,28.44,18.96,40.0,42.95,1.0948,0,0.0,1.81,1
20220806,10,101,Electronics,33,35,144,62.33,54.32,37.4,24.93,40.0,61.28,0.9328,0,0.0,1.03,1
20220807,10,101,Electronics,37,54,144,74.89,68.45,44.93,29.96,40.0,80.39,0.9554,0,0.0,1.42,1
20220808,10,101,Electronics,49,70,144,56.99,52.28,34.2,22.8,40.0,58.11,0.9569,0,0.0,1.4,1
20220809,10,101,Electronics,29,7,144,84.59,70.68,50.75,33.84,40.0,86.67,0.9135,0,0.0,0.23,1
20220810,10,101,Electronics,30,12,144,65.92,77.31,39.55,26.37,40.0,64.67,1.0822,0,0.0,0.39,1
20220811,10,101,Electronics,19,42,144,65.27,68.77,39.16,26.11,40.0,65.17,1.0257,0,0.0,2.1,1
20220812,10,101,Electronics,41,93,144,87.07,89.01,52.24,34.83,40.0,89.9,1.0105,1,29.56,2.21,1
20220813,10,101,Electronics,52,40,144,39.86,41.53,23.91,15.94,40.0,43.6,1.0195,0,0.0,0.75,1
20220814,10,101,Electronics,54,18,144,29.08,35.06,17.45,11.63,40.0,28.1,1.0962,0,0.0,0.33,1
20220815,10,101,Electronics,58,80,144,61.71,71.9,37.03,24.68,40.0,64.26,1.0785,0,0.0,1.36,1
20220816,10,101,Electronics,31,41,144,23.83,29.25,14.3,9.53,40.0,23.14,1.1056,0,0.0,1.28,1
20220817,10,101,Electronics,44,10,144,88.14,81.45,52.89,35.26,40.0,82.96,0.9607,1,18.09,0.22,1
20220818,10,101,Electronics,35,24,144,20.1,19.85,12.06,8.04,40.0,18.3,0.9914,0,0.0,0.67,1
