store_id,store_name,store_type,region,city,state,store_format,annual_sales_usd,avg_daily_traffic
1329,Store_1329,Urban Premium,Central,City_9,State_4,Premium,2758329.0,2439.0
1354,Store_1354,Rural General,East,City_4,State_4,Discount,7915589.0,2741.0
1392,Store_1392,Urban Premium,West,City_2,State_2,Discount,8869380.0,1841.0
1393,Store_1393,Urban Supermarket,South,City_3,State_3,Premium,2331396.0,3324.0
1425,Store_1425,Urban Premium,Central,City_5,State_0,Discount,7483379.0,1838.0
1452,Store_1452,Rural General,West,City_2,State_2,Supermarket,8108288.0,752.0
1459,Store_1459,Suburban Discount,South,City_9,State_4,Premium,4345201.0,2001.0
1510,Store_1510,Suburban Discount,North,City_0,State_0,Premium,5856218.0,2413.0
1537,Store_1537,Urban Supermarket,South,City_7,State_2,Discount,2894104.0,2836.0
1540,Store_1540,Suburban Discount,North,City_0,State_0,Discount,9222258.0,4413.0
1556,Store_1556,Suburban Discount,West,City_6,State_1,Premium,2710590.0,2081.0
1587,Store_1587,Rural General,Central,City_7,State_2,Premium,6648644.0,3407.0
1589,Store_1589,Rural General,East,City_9,State_4,Supermarket,5923559.0,3986.0
1616,Store_1616,Rural General,East,City_6,State_1,Supermarket,7468712.0,2209.0
1625,Store_1625,Suburban Discount,West,City_5,State_0,Premium,9120490.0,914.0
1634,Store_1634,Suburban Discount,Central,City_4,State_4,Supermarket,5818336.0,3076.0
1646,Store_1646,Rural General,Central,City_6,State_1,Supermarket,8429023.0,984.0
1710,Store_1710,Suburban Discount,West,City_0,State_0,Premium,7923624.0,4376.0
1712,Store_1712,Urban Supermarket,North,City_2,State_2,Supermarket,8721501.0,3011.0
1741,Store_1741,Urban Premium,North,City_1,State_1,Premium,5455814.0,1713.0
1763,Store_1763,Suburban Discount,Central,City_3,State_3,Discount,2491897.0,934.0
1822,Store_1822,Urban Premium,West,City_2,State_2,Premium,5084766.0,1076.0
1830,Store_1830,Suburban Discount,West,City_0,State_0,Discount,2200688.0,1506.0
1838,Store_1838,Suburban Discount,North,City_8,State_3,Discount,6756749.0,1452.0
1843,Store_1843,Urban Premium,West,City_3,State_3,Discount,4390462.0,3162.0
1857,Store_1857,Urban Supermarket,North,City_7,State_2,Discount,6150722.0,3182.0
1858,Store_1858,Urban Supermarket,West,City_8,State_3,Supermarket,3609993.0,4873.0
1925,Store_1925,Urban Premium,South,City_5,State_0,Premium,3725630.0,1114.0
1936,Store_1936,Rural General,Central,City_6,State_1,Discount,8876579.0,4680.0
1937,Store_1937,Urban Premium,West,City_7,State_2,Supermarket,5604249.0,2113.0
